id,center_x,center_y,time,x,y,w,h
6,354,654,4,330.0,636.0,48.0,37.0
6,356,652,5,334.0,636.0,44.0,32.0
16,679,1026,5,637.0,1019.0,85.0,14.0
6,286,748,6,273.0,725.0,27.0,47.0
16,603,1033,6,573.0,1021.0,60.0,24.0
6,281,750,7,269.0,732.0,24.0,37.0
16,606,1033,7,582.0,1022.0,48.0,22.0
6,286,657,8,275.0,633.0,23.0,49.0
16,600,1033,8,572.0,1022.0,57.0,22.0
6,287,657,9,277.0,633.0,21.0,48.0
16,599,1032,10,571.0,1022.0,57.0,21.0
6,293,657,10,273.0,632.0,41.0,50.0
16,599,1032,11,571.0,1022.0,56.0,21.0
19,1002,860,11,986.0,850.0,32.0,21.0
6,287,656,11,274.0,631.0,27.0,51.0
6,296,657,12,276.0,632.0,40.0,50.0
19,1001,860,12,985.0,849.0,32.0,22.0
16,598,1033,12,570.0,1024.0,56.0,19.0
6,264,602,13,246.0,581.0,36.0,43.0
19,1000,862,13,984.0,852.0,33.0,20.0
16,595,1031,13,566.0,1020.0,59.0,23.0
16,596,1033,14,568.0,1023.0,57.0,20.0
6,263,602,14,246.0,581.0,35.0,43.0
6,263,603,15,246.0,582.0,35.0,42.0
6,263,603,16,246.0,583.0,35.0,40.0
6,263,603,17,246.0,583.0,35.0,40.0
6,292,653,18,277.0,628.0,30.0,50.0
6,297,653,19,278.0,628.0,38.0,50.0
6,294,652,20,279.0,627.0,30.0,50.0
21,984,589,20,974.0,574.0,21.0,30.0
19,991,868,21,976.0,852.0,31.0,33.0
16,589,1033,21,558.0,1024.0,62.0,18.0
21,984,588,21,974.0,573.0,21.0,31.0
6,294,651,21,279.0,626.0,30.0,51.0
21,984,589,22,973.0,573.0,22.0,33.0
6,265,602,22,246.0,584.0,38.0,36.0
19,987,874,22,975.0,861.0,24.0,26.0
16,589,1032,22,560.0,1024.0,59.0,17.0
16,588,1032,23,559.0,1023.0,59.0,19.0
21,983,591,23,971.0,574.0,24.0,34.0
6,266,602,23,246.0,584.0,41.0,36.0
19,986,874,23,974.0,862.0,24.0,25.0
21,983,591,24,971.0,574.0,24.0,34.0
6,295,650,24,280.0,624.0,30.0,52.0
19,987,871,24,971.0,855.0,33.0,33.0
16,590,1032,24,563.0,1024.0,54.0,17.0
19,987,872,25,971.0,855.0,32.0,35.0
16,591,1032,25,568.0,1024.0,47.0,17.0
6,295,649,25,280.0,624.0,30.0,51.0
21,982,591,25,971.0,575.0,23.0,33.0
19,986,874,26,970.0,856.0,33.0,37.0
16,587,1033,26,559.0,1025.0,56.0,16.0
21,982,592,26,970.0,575.0,24.0,34.0
19,992,878,27,970.0,861.0,44.0,34.0
21,982,591,27,970.0,574.0,24.0,35.0
19,989,879,28,967.0,863.0,45.0,33.0
21,981,593,28,969.0,576.0,24.0,34.0
29,1207,1023,28,1179.0,1011.0,56.0,24.0
21,981,593,29,969.0,576.0,24.0,34.0
19,986,879,29,964.0,862.0,44.0,34.0
21,1052,589,30,1040.0,575.0,24.0,29.0
19,985,879,30,963.0,863.0,45.0,33.0
29,1221,1022,30,1205.0,1011.0,33.0,22.0
21,980,592,31,968.0,575.0,25.0,34.0
29,1182,1021,31,1163.0,1012.0,39.0,18.0
19,983,880,31,959.0,865.0,48.0,31.0
29,1181,1020,32,1161.0,1012.0,41.0,17.0
6,288,663,32,276.0,640.0,24.0,47.0
19,981,882,32,957.0,867.0,49.0,30.0
21,980,592,32,968.0,575.0,25.0,35.0
6,298,653,33,276.0,620.0,44.0,66.0
19,980,882,33,955.0,867.0,51.0,30.0
21,1050,588,33,1037.0,574.0,26.0,29.0
29,1181,1020,33,1161.0,1012.0,40.0,17.0
21,979,592,34,967.0,575.0,25.0,35.0
19,969,880,34,954.0,864.0,31.0,33.0
29,1180,1022,34,1161.0,1012.0,38.0,20.0
6,289,664,34,277.0,642.0,24.0,44.0
29,1222,1021,35,1206.0,1011.0,33.0,21.0
21,979,592,35,967.0,575.0,25.0,35.0
6,288,665,35,276.0,644.0,24.0,42.0
19,968,881,35,952.0,865.0,33.0,33.0
16,580,1033,35,551.0,1023.0,58.0,20.0
113,825,910,35,814.0,889.0,22.0,42.0
113,820,910,36,804.0,889.0,32.0,42.0
19,977,882,36,951.0,865.0,53.0,34.0
16,580,1033,36,552.0,1023.0,56.0,20.0
6,287,663,36,276.0,642.0,23.0,43.0
29,1222,1022,36,1206.0,1012.0,33.0,20.0
21,979,593,36,967.0,575.0,25.0,37.0
16,578,1032,37,549.0,1022.0,59.0,21.0
21,979,593,37,966.0,575.0,26.0,37.0
6,288,663,37,277.0,641.0,23.0,44.0
29,1177,1022,37,1158.0,1013.0,39.0,18.0
113,820,910,37,804.0,889.0,32.0,42.0
21,978,592,38,966.0,575.0,25.0,34.0
19,996,866,38,972.0,846.0,49.0,40.0
16,577,1032,38,549.0,1022.0,57.0,21.0
29,1176,1023,38,1155.0,1013.0,42.0,20.0
113,820,910,38,804.0,889.0,33.0,42.0
113,821,910,39,804.0,890.0,34.0,41.0
21,978,592,39,965.0,575.0,26.0,34.0
19,963,890,39,949.0,879.0,28.0,23.0
16,577,1033,39,548.0,1023.0,58.0,20.0
29,1224,1021,39,1207.0,1012.0,34.0,19.0
19,963,890,40,949.0,878.0,28.0,24.0
21,978,592,40,965.0,575.0,26.0,35.0
16,576,1033,40,547.0,1024.0,59.0,18.0
29,1220,1021,40,1200.0,1012.0,41.0,19.0
113,821,910,40,804.0,890.0,34.0,41.0
6,290,662,41,278.0,641.0,24.0,43.0
113,821,910,41,804.0,890.0,34.0,40.0
19,963,889,41,947.0,878.0,32.0,23.0
16,575,1033,41,546.0,1025.0,59.0,17.0
29,1218,1021,41,1196.0,1012.0,45.0,19.0
21,975,594,41,959.0,575.0,32.0,38.0
19,960,889,42,947.0,877.0,26.0,24.0
29,1217,1021,42,1193.0,1012.0,49.0,19.0
16,573,1032,42,542.0,1023.0,63.0,19.0
21,975,594,42,959.0,575.0,32.0,38.0
113,826,916,42,814.0,903.0,24.0,26.0
29,1175,1019,43,1159.0,1011.0,32.0,17.0
16,572,1033,43,540.0,1023.0,64.0,20.0
6,290,663,43,278.0,644.0,24.0,38.0
21,975,594,43,959.0,575.0,32.0,39.0
19,959,889,43,946.0,878.0,26.0,23.0
113,826,916,43,814.0,903.0,25.0,26.0
6,273,604,44,261.0,590.0,24.0,28.0
19,957,890,44,944.0,879.0,27.0,22.0
29,1172,1020,44,1143.0,1011.0,59.0,19.0
16,575,1032,44,547.0,1022.0,57.0,21.0
113,827,916,44,815.0,903.0,24.0,26.0
21,975,595,44,959.0,576.0,32.0,38.0
21,975,595,45,958.0,576.0,34.0,38.0
19,958,889,45,944.0,878.0,28.0,23.0
16,565,1032,45,547.0,1022.0,36.0,21.0
113,827,916,45,815.0,903.0,25.0,26.0
29,1171,1020,45,1142.0,1011.0,59.0,19.0
6,265,605,45,246.0,591.0,39.0,29.0
113,827,915,46,815.0,902.0,25.0,27.0
21,975,595,46,958.0,577.0,35.0,37.0
16,561,1032,46,539.0,1022.0,44.0,21.0
6,264,606,46,245.0,589.0,39.0,35.0
19,957,890,46,944.0,879.0,27.0,22.0
29,1170,1020,46,1141.0,1011.0,59.0,19.0
43,387,824,47,371.0,811.0,32.0,26.0
16,561,1032,47,539.0,1022.0,44.0,21.0
29,1170,1020,47,1140.0,1011.0,61.0,19.0
21,975,597,47,958.0,578.0,35.0,38.0
6,265,606,47,246.0,588.0,39.0,36.0
113,828,915,47,815.0,902.0,26.0,27.0
29,1174,1020,48,1149.0,1011.0,50.0,18.0
43,384,824,48,370.0,810.0,29.0,28.0
113,828,914,48,816.0,901.0,25.0,27.0
21,975,597,48,958.0,578.0,35.0,38.0
16,561,1032,48,540.0,1022.0,43.0,21.0
6,264,606,48,246.0,588.0,37.0,37.0
21,975,597,49,958.0,578.0,35.0,38.0
29,1167,1019,49,1151.0,1011.0,32.0,17.0
43,389,824,49,370.0,810.0,38.0,29.0
6,264,608,49,246.0,588.0,37.0,40.0
16,561,1032,49,540.0,1022.0,43.0,21.0
113,828,911,49,816.0,895.0,25.0,33.0
16,561,1032,50,541.0,1022.0,41.0,21.0
21,975,597,50,958.0,578.0,35.0,38.0
43,385,824,50,369.0,810.0,33.0,29.0
6,264,609,50,246.0,588.0,37.0,42.0
113,828,910,50,815.0,892.0,27.0,36.0
29,1164,1019,51,1149.0,1011.0,31.0,17.0
6,263,609,51,244.0,588.0,39.0,43.0
113,829,908,51,815.0,889.0,28.0,39.0
43,385,824,51,369.0,810.0,33.0,29.0
16,562,1033,51,541.0,1023.0,42.0,20.0
21,975,597,51,958.0,578.0,35.0,38.0
113,829,909,52,815.0,891.0,29.0,37.0
6,263,610,52,244.0,587.0,39.0,46.0
43,383,824,52,368.0,810.0,31.0,29.0
21,976,598,52,960.0,579.0,33.0,38.0
19,955,889,52,941.0,879.0,28.0,21.0
16,561,1032,52,540.0,1022.0,43.0,21.0
29,1172,1020,52,1149.0,1011.0,46.0,18.0
113,830,909,53,816.0,891.0,28.0,36.0
6,263,610,53,244.0,587.0,39.0,47.0
43,383,824,53,368.0,810.0,30.0,29.0
16,560,1032,53,540.0,1022.0,41.0,21.0
21,976,598,53,960.0,579.0,33.0,38.0
29,1170,1020,53,1147.0,1011.0,47.0,19.0
29,1169,1020,54,1146.0,1011.0,47.0,19.0
21,979,599,54,960.0,579.0,39.0,41.0
16,561,1033,54,541.0,1023.0,40.0,20.0
43,383,824,54,368.0,810.0,30.0,29.0
6,264,610,54,246.0,587.0,37.0,47.0
113,830,905,54,816.0,884.0,28.0,43.0
29,1167,1021,55,1142.0,1011.0,50.0,20.0
19,953,889,55,938.0,879.0,30.0,20.0
21,1016,625,55,1000.0,598.0,33.0,55.0
16,560,1032,55,540.0,1023.0,41.0,19.0
43,382,824,55,367.0,810.0,31.0,29.0
6,265,610,55,246.0,587.0,39.0,46.0
113,831,904,55,817.0,882.0,28.0,45.0
21,1017,632,56,1001.0,609.0,32.0,46.0
16,558,1032,56,538.0,1023.0,41.0,19.0
43,382,824,56,367.0,810.0,30.0,29.0
29,1158,1020,56,1127.0,1010.0,62.0,20.0
113,831,903,56,817.0,880.0,29.0,47.0
16,557,1032,57,536.0,1023.0,42.0,19.0
113,836,902,57,817.0,878.0,38.0,48.0
29,1159,1020,57,1136.0,1012.0,46.0,17.0
6,264,613,57,244.0,587.0,40.0,53.0
43,383,825,57,367.0,811.0,33.0,28.0
21,1017,633,57,1002.0,611.0,30.0,44.0
59,429,667,57,416.0,646.0,27.0,42.0
21,1015,626,58,999.0,598.0,33.0,57.0
113,835,902,58,816.0,878.0,39.0,48.0
43,396,824,58,367.0,807.0,58.0,34.0
29,1149,1020,58,1119.0,1011.0,61.0,18.0
16,555,1032,58,534.0,1023.0,43.0,19.0
59,429,667,58,416.0,646.0,27.0,42.0
59,429,666,59,416.0,645.0,27.0,43.0
16,555,1032,59,534.0,1023.0,43.0,18.0
113,866,875,59,853.0,861.0,27.0,29.0
21,1017,633,59,1003.0,611.0,29.0,44.0
29,1148,1020,59,1118.0,1012.0,61.0,17.0
16,554,1032,60,531.0,1023.0,46.0,19.0
113,864,876,60,849.0,861.0,31.0,30.0
21,1015,635,60,999.0,611.0,32.0,48.0
29,1148,1021,60,1118.0,1012.0,61.0,18.0
59,425,665,60,408.0,642.0,34.0,46.0
29,1148,1021,61,1117.0,1012.0,62.0,19.0
113,836,901,61,817.0,878.0,38.0,46.0
59,425,665,61,408.0,643.0,34.0,45.0
21,1015,637,61,1000.0,612.0,31.0,51.0
16,557,1032,61,538.0,1023.0,38.0,19.0
21,1017,638,62,1004.0,613.0,27.0,50.0
29,1146,1021,62,1116.0,1012.0,61.0,19.0
113,836,902,62,817.0,880.0,38.0,44.0
59,425,665,62,409.0,643.0,33.0,45.0
16,558,1032,62,540.0,1023.0,36.0,19.0
113,836,901,63,817.0,879.0,38.0,45.0
29,1147,1020,63,1117.0,1011.0,60.0,19.0
59,425,665,63,409.0,643.0,33.0,44.0
16,558,1032,63,541.0,1023.0,34.0,18.0
21,1014,634,63,1003.0,613.0,23.0,43.0
29,1151,1020,64,1127.0,1011.0,48.0,18.0
113,836,901,64,817.0,879.0,38.0,45.0
16,558,1032,64,541.0,1023.0,34.0,18.0
59,425,665,64,408.0,643.0,34.0,44.0
21,1015,635,64,1002.0,613.0,27.0,45.0
59,425,665,65,409.0,643.0,33.0,44.0
29,1148,1020,65,1125.0,1011.0,47.0,18.0
21,1013,636,65,1000.0,614.0,26.0,45.0
16,557,1032,65,540.0,1023.0,35.0,19.0
113,868,879,65,850.0,857.0,36.0,44.0
21,1008,635,66,990.0,611.0,36.0,48.0
29,1148,1020,66,1125.0,1011.0,47.0,19.0
59,425,665,66,409.0,643.0,33.0,44.0
16,556,1032,66,540.0,1023.0,33.0,18.0
113,836,902,66,819.0,880.0,34.0,44.0
21,1007,638,67,987.0,610.0,40.0,57.0
43,389,824,67,367.0,806.0,44.0,37.0
29,1146,1021,67,1121.0,1011.0,50.0,20.0
113,836,902,67,819.0,880.0,35.0,44.0
16,556,1032,67,540.0,1023.0,32.0,18.0
59,425,665,67,409.0,643.0,33.0,44.0
113,836,901,68,819.0,878.0,34.0,46.0
16,556,1032,68,540.0,1023.0,33.0,18.0
21,1008,639,68,990.0,610.0,36.0,58.0
43,389,824,68,367.0,805.0,44.0,38.0
59,425,665,68,409.0,643.0,33.0,44.0
29,1145,1021,68,1121.0,1011.0,49.0,20.0
43,389,824,69,367.0,806.0,44.0,37.0
59,425,664,69,408.0,642.0,34.0,45.0
21,998,594,69,979.0,574.0,38.0,41.0
29,1143,1020,69,1119.0,1011.0,48.0,19.0
113,835,900,69,819.0,877.0,32.0,47.0
21,1010,642,70,995.0,615.0,30.0,55.0
59,424,664,70,407.0,642.0,35.0,45.0
43,388,824,70,367.0,806.0,43.0,37.0
29,1136,1021,70,1107.0,1012.0,59.0,18.0
113,835,900,70,819.0,877.0,33.0,47.0
29,1133,1020,71,1102.0,1012.0,62.0,17.0
59,425,664,71,408.0,642.0,34.0,45.0
55,670,618,71,661.0,603.0,19.0,31.0
113,939,896,71,925.0,883.0,28.0,26.0
21,1010,643,71,995.0,615.0,31.0,56.0
113,836,900,72,819.0,877.0,34.0,47.0
29,1135,1020,72,1109.0,1011.0,53.0,19.0
21,1010,643,72,995.0,615.0,31.0,56.0
55,669,618,72,660.0,603.0,19.0,31.0
59,424,664,72,407.0,642.0,35.0,45.0
29,1136,1021,73,1111.0,1012.0,50.0,18.0
