time,id,x,y,w,h,center_x,center_y
4,0,495,1037,25,15,507,1044
4,1,842,329,23,21,853,339
4,2,987,209,22,30,998,224
5,0,496,1037,23,15,507,1044
5,1,843,331,20,18,853,340
6,0,496,1038,22,13,507,1044
6,1,843,331,21,19,853,340
7,1,843,331,21,19,853,340
8,1,844,332,20,18,854,341
11,3,994,226,13,11,1000,231
12,3,993,226,14,11,1000,231
13,3,993,224,14,13,1000,230
14,3,993,224,14,13,1000,230
15,3,993,223,15,15,1000,230
16,3,994,223,14,15,1001,230
17,3,995,225,13,13,1001,231
18,3,995,226,13,13,1001,232
21,4,490,1039,24,12,502,1045
22,4,490,1039,24,12,502,1045
23,4,489,1037,14,13,496,1043
24,4,488,1037,14,13,495,1043
25,4,488,1037,25,13,500,1043
26,4,486,1036,27,14,499,1043
27,4,485,1036,28,14,499,1043
28,4,483,1036,30,14,498,1043
29,4,482,1036,30,14,497,1043
29,5,1000,227,15,12,1007,233
30,4,482,1036,30,14,497,1043
30,5,1001,225,15,15,1008,232
31,4,480,1036,32,14,496,1043
31,5,990,218,26,21,1003,228
32,4,480,1037,32,13,496,1043
32,5,990,218,28,21,1004,228
33,5,991,218,27,21,1004,228
34,6,478,1036,33,14,494,1043
34,5,991,219,29,20,1005,229
35,5,992,221,29,18,1006,230
36,7,474,1060,16,11,482,1065
36,7,496,1040,15,10,503,1045
36,7,474,1036,20,16,484,1044
36,5,992,221,29,18,1006,230
37,7,473,1061,18,10,482,1066
37,7,496,1040,14,10,503,1045
37,7,472,1036,20,14,482,1043
37,5,992,221,30,18,1007,230
38,7,471,1061,18,10,480,1066
38,7,471,1036,21,15,481,1043
38,5,992,222,30,17,1007,230
39,7,470,1061,19,10,479,1066
39,7,470,1036,20,14,480,1043
39,8,861,342,15,12,868,348
39,5,993,222,31,17,1008,230
40,7,468,1061,20,10,478,1066
40,7,469,1037,19,13,478,1043
40,8,861,341,15,13,868,347
40,5,1004,227,20,12,1014,233
41,7,467,1061,20,10,477,1066
41,7,467,1036,21,13,477,1042
41,5,1005,226,19,12,1014,232
42,7,465,1061,21,10,475,1066
42,7,465,1036,22,13,476,1042
42,5,1005,225,21,13,1015,231
43,7,465,1062,20,10,475,1067
43,7,464,1036,22,14,475,1043
43,9,854,339,21,15,864,346
43,5,1006,224,20,14,1016,231
44,7,464,1062,21,10,474,1067
44,7,463,1035,22,14,474,1042
44,9,862,344,14,11,869,349
44,5,1006,223,21,16,1016,231
45,7,462,1063,21,9,472,1067
45,7,462,1034,21,14,472,1041
45,9,854,339,22,16,865,347
45,5,1007,224,20,14,1017,231
46,7,462,1063,20,9,472,1067
46,7,461,1034,21,14,471,1041
46,9,854,339,22,15,865,346
